연관키워드,월간검색수 ,,월평균클릭수 ,,월평균클릭률 ,,경쟁정도,월평균노출 광고수
일요일건강검진,50,270,0,1.3,-,0.52%,높음,10
장염,"4,250","26,700",2.1,21.3,0.06%,0.09%,높음,7
건강검진프로모션,20,20,0.1,1.5,0.8%,6.53%,높음,7
대구종합건강검진비용,< 10,10,0.3,0.5,7.15%,3.34%,높음,7
반월당건강검진,10,40,0.3,0.8,2.99%,2.06%,중간,6
수성구건강검진,60,90,0,0.3,-,0.25%,높음,9
수성구건강검진센터,10,50,0.2,2.3,1.84%,4.02%,높음,9
복통,930,"5,710",0,4,-,0.08%,높음,10
헬리코박터,600,"2,600",1.1,29,0.19%,1.17%,중간,8
혈변원인,830,"12,100",0.2,38.8,0.03%,0.34%,높음,10
독감예방접종,260,"1,180",0.2,1,0.1%,0.1%,높음,10
부정맥원인,620,"6,420",1,39.8,0.17%,0.66%,높음,7
동탄정신건강의학과,80,870,0.9,7.8,0.99%,0.94%,높음,7
목MRI,70,480,0.1,1.3,0.25%,0.36%,높음,7
목디스크MRI,140,550,0,1,-,0.26%,높음,10
수면위내시경,190,"1,020",0,1.5,-,0.23%,높음,10
싸이모신,730,"1,460",0.3,1.8,0.04%,0.13%,높음,7
염좌,"2,370","13,300",0.2,38.2,0.01%,0.3%,높음,10
서울심장초음파,< 10,20,0,0.3,-,3.34%,높음,7
대장내시경가격,280,"1,350",0.1,5.4,0.05%,0.47%,높음,10
수면대장내시경비용,370,"2,360",0.3,20.4,0.1%,1.03%,높음,10
부산갑상선명의,70,450,0,0,-,-,낮음,0
부산갑상선잘보는병원,10,50,0,1.6,-,4.88%,중간,3
부산갑상선초음파,20,80,0,0.5,-,0.8%,높음,10
부산김용기내과,250,"2,100",0,20.5,-,1.1%,중간,2
부산임파선,< 10,20,0,1.6,-,10.72%,중간,1
부산임파선염,< 10,10,0,0,-,-,낮음,0
심전도,960,"3,510",0.4,5.8,0.05%,0.18%,높음,10
간기능검사병원,50,450,0,0,-,-,높음,3
신장검사병원,70,570,0.1,2.5,0.24%,0.48%,높음,7
종양표지자검사,930,"3,500",0,1.8,-,0.06%,중간,5
종양표지자검사병원,10,50,0.3,0,4.17%,-,높음,3
심장초음파병원,70,860,0.6,4.2,0.78%,0.54%,높음,10
심장초음파비용,390,"4,000",0.7,21.2,0.2%,0.57%,높음,10
건강검진센터병원,< 10,< 10,0,0,-,-,높음,7
스트레스검사병원,10,120,0,0.3,-,0.71%,높음,7
관상동맥,"1,380","5,950",0,20.8,-,0.39%,높음,7
신장질환,420,"2,160",0.7,1.3,0.22%,0.09%,높음,3
갑상선암,"3,090","15,500",1.7,59.8,0.07%,0.44%,높음,10
무좀치료,600,"7,610",0.5,38.6,0.09%,0.54%,높음,10
항암치료,820,"5,920",0.8,28.8,0.11%,0.53%,높음,10
독감백신,210,170,0,0.8,-,0.45%,높음,10
심장CT,390,"1,360",0.3,4,0.09%,0.31%,높음,10
강동구건강검진,100,200,1.5,6.2,1.55%,3.29%,높음,10
고혈압,"2,890","12,000",1.5,18.3,0.06%,0.17%,높음,10
부천폐CT,< 10,20,0,0,-,-,낮음,0
흉부CT,610,"2,420",0,4.3,-,0.2%,높음,10
경동맥초음파비용,890,"6,790",0.6,50.6,0.08%,0.83%,높음,10
경동맥협착증,520,"3,110",0.4,14.5,0.09%,0.5%,높음,10
갑상선기능저하증증상,"1,500","7,520",0.1,16.4,0.01%,0.23%,높음,10
허리디스크MRI,160,790,0,0.8,-,0.14%,높음,10
강동역수액,< 10,10,0,0,-,-,높음,3
비타민C정맥주사,70,300,0.1,0.5,0.26%,0.25%,높음,7
수액병원,260,"4,120",0.1,6.2,0.05%,0.17%,높음,10
천호동내과,60,390,0.3,0.3,0.52%,0.08%,높음,7
폐결절,"1,970","12,700",0.3,5.1,0.02%,0.05%,높음,3
가슴CT,20,230,0,0.3,-,0.24%,높음,3
수전증치료,160,"1,440",0.6,11.5,0.41%,0.89%,높음,10
직장인건강검진예약,110,140,0,1,-,0.75%,높음,10
위내시경병원,100,870,0,3.6,-,0.46%,높음,10
대구공무원건강검진,30,60,0.3,1,1.84%,2.34%,중간,6
대전선병원응급실,20,340,0.5,1,2.39%,0.32%,중간,2
대구종합건강검진센터,< 10,100,0,5.3,-,5.42%,높음,7
삭센다,"1,980","7,360",0.8,30.6,0.05%,0.44%,높음,10
공무원채용신체검사병원,520,"1,350",1.2,6.6,0.26%,0.52%,높음,10
국민건강검진센터,70,260,0.1,3.3,0.15%,1.49%,높음,10
갑상선결절수술,240,760,0.2,2.8,0.09%,0.4%,높음,10
영등포건강검진,50,100,0.1,0.3,0.2%,0.3%,높음,10
2025건강검진대상자,< 10,< 10,0,0.3,-,4.17%,높음,3
건강검진종류,320,890,0,2.4,-,0.38%,높음,10
국가건강검진센터,90,260,0.3,2.8,0.32%,1.13%,높음,7
국가검진센터,50,210,0,0,-,-,낮음,0
국가검진항목,620,"3,070",1,1.7,0.23%,0.09%,높음,3
기업건강검진예약,10,10,0,0.3,-,1.48%,높음,7
한국건강검진센터,270,"1,390",4.6,53.4,2.13%,4.38%,높음,10
해외건강검진,< 10,< 10,0,0,-,-,높음,3
광진구건강검진,80,70,0.1,2.4,0.14%,2.7%,높음,10
갑상선기능항진증,"3,530","31,400",1.1,46.8,0.04%,0.16%,높음,10
대구건강검진잘하는곳,10,10,0,1,-,4.55%,높음,7
강남구건강검진,30,40,0.1,1.3,0.32%,2.85%,높음,10
건강검진내과,100,550,0.1,2,0.11%,0.42%,높음,10
대장내시경추천병원,< 10,10,0.1,0,3.58%,-,높음,7
중증근무력증,900,"3,020",0.6,8,0.09%,0.29%,중간,8
대구검진,< 10,30,0,0.5,-,2.09%,높음,7
면역주사,740,"5,710",0.2,26.3,0.03%,0.48%,높음,10
수면내시경,360,"2,400",0,4.3,-,0.2%,높음,10
건강진단,100,170,0,0,-,-,높음,10
광명건강검진,140,210,1.9,6,1.46%,2.96%,높음,10
안양종합건강검진,10,20,0.3,0.6,3.18%,3.78%,높음,7
대장내시경검사,170,740,0.2,4.8,0.13%,0.72%,높음,10
수면내시경가격,20,190,0,0,-,-,높음,3
암정밀검사,< 10,20,0,0,-,-,높음,7
강남건강검진병원,40,50,0,0,-,-,높음,10
삭센다가격,340,"1,920",0.2,29.6,0.06%,1.63%,높음,10
삭센다주사,100,60,0,0.5,-,0.8%,높음,10
영등포건강검진병원,20,40,0,0.3,-,0.66%,높음,7
부산당뇨,< 10,20,0.7,0,9.53%,-,높음,3
대상포진치료,470,"2,930",0.8,21.4,0.18%,0.77%,높음,10
노로바이러스,"3,300","22,700",0.6,24.8,0.02%,0.12%,높음,10
수족구병,"2,800","10,700",0,0.8,-,0.01%,높음,3
십이지장,750,"4,350",0.4,16.3,0.06%,0.41%,높음,7
통풍,"5,410","29,700",1.3,85.2,0.03%,0.32%,높음,10
사하구대장내시경,10,20,0,1.9,-,8.34%,중간,5
사하구위내시경,< 10,10,0,1.5,-,8.07%,중간,5
갑상선암수술,850,"4,320",0.7,28.2,0.09%,0.71%,높음,10
영등포구건강검진센터,< 10,< 10,0,0,-,-,높음,7
영등포소화기내과,10,30,0,0,-,-,높음,3
대구직장인건강검진,30,40,0.1,0.3,0.48%,0.72%,높음,10
기업검진,30,20,0,0,-,-,높음,7
단체건강검진,< 10,10,0,0,-,-,높음,7
위염,"1,990","13,400",1.1,14.2,0.06%,0.12%,높음,10
인천내시경,10,20,0,1.5,-,7.15%,높음,7
강서건강검진,20,50,0,0.8,-,1.5%,높음,7
분당건강검진추천,20,30,0,0,-,-,높음,3
저렴한건강검진,< 10,10,0,0,-,-,낮음,0
갑상선검사병원,320,"2,410",0.5,13.8,0.18%,0.65%,높음,10
갑상선암증상,"4,430","54,200",3.5,241.6,0.09%,0.5%,높음,10
갑상선염,400,"2,000",0,1.8,-,0.1%,높음,10
갑상선저하증,"1,670","13,900",0.4,34.4,0.03%,0.27%,높음,10
갑상선항진증,"2,620","14,500",0.5,20.1,0.03%,0.15%,높음,10
갑상선항진증증상,"1,160","8,070",0.4,16.5,0.04%,0.23%,높음,10
갑상선혹,970,"8,560",0.4,35.4,0.05%,0.46%,높음,10
임파선암,480,"3,790",0,17.2,-,0.51%,높음,10
강서건강검진센터,140,740,0.4,15.4,0.32%,2.19%,높음,10
갑상선증상,"1,760","18,700",1.9,118.8,0.12%,0.68%,높음,10
임직원건강검진,100,< 10,1.3,0.6,1.4%,15%,높음,7
갑상선에좋은음식,500,"3,930",0.4,51.5,0.09%,1.39%,높음,10
갑상선암종류,380,"1,800",0.4,11.4,0.12%,0.68%,높음,10
갑상선기능항진증증상,730,"4,510",0,8,-,0.19%,높음,10
관악구신경외과,10,60,0,0.6,-,1.06%,높음,10
금천구건강검진,60,90,0,0.3,-,0.38%,높음,3
목동건강검진,30,30,0,0,-,-,높음,10
금천구신경외과,10,90,0,3.3,-,4.4%,높음,10
서울신경외과,150,"1,550",0.3,4.8,0.22%,0.34%,높음,10
영등포신경외과,50,"1,210",0.2,0.8,0.41%,0.09%,높음,10
양천구건강검진,20,60,0,0.3,-,0.42%,높음,10
갑상선기능저하,470,"1,290",0.2,2.3,0.05%,0.18%,높음,10
베스트내과,990,"9,460",1,5.3,0.11%,0.07%,높음,3
강남위내시경,60,50,0,0.7,-,1.64%,높음,7
뇌경색후유증,330,"3,010",0.3,22,0.11%,0.78%,높음,10
건강검진대행,10,< 10,1.7,0,13.19%,-,높음,7
독감접종,60,100,0,0,-,-,높음,10
관악구건강검진,50,110,0.2,1.5,0.38%,1.52%,높음,10
송파구국가건강검진,10,20,0,0.3,-,1.24%,높음,7
송파구위내시경,< 10,20,0,0,-,-,높음,7
송파구직장인건강검진,< 10,< 10,0,0,-,-,높음,3
갑상선내과,160,860,0.1,3.2,0.07%,0.41%,높음,10
명동건강검진센터,20,40,0.5,1.8,1.72%,3.5%,중간,6
용산건강검진,40,60,0.1,1,0.35%,1.62%,높음,10
세종시내과,350,"1,080",1.4,10.6,0.45%,1.08%,높음,10
갑상선명의,120,490,0.6,6.2,0.52%,1.34%,높음,10
갑상선암명의,140,540,0.2,2.6,0.15%,0.51%,높음,10
갑상선클리닉,20,110,0.1,0.8,0.32%,0.8%,높음,10
공단역건강검진,< 10,20,0.1,1.3,3.58%,6.42%,높음,7
달서구건강검진,40,30,0.2,0.3,0.48%,0.7%,높음,10
달서구건강검진병원,10,20,0.3,0,1.97%,-,높음,7
달서구내시경,10,10,0,0.3,-,1.39%,높음,3
대구TBPE,< 10,10,0,0,-,-,낮음,0
대구간초음파,30,60,0,0.4,-,0.71%,높음,3
대구건강검진병원,90,240,0.7,2.6,0.72%,1.11%,높음,10
대구건강검진비용,10,20,0,0.8,-,2.35%,높음,7
대구건강검진예약,10,30,0,1.3,-,4.81%,높음,7
대구건강검진협회,60,220,0,0,-,-,낮음,0
대구건강관리,< 10,< 10,0,0,-,-,중간,6
대구건강증진센터,20,50,0.3,4,1.86%,7.41%,높음,3
대구국가건강검진,30,30,0,0.8,-,1.98%,높음,7
대구독감예방접종,40,< 10,0,0,-,-,높음,7
대구북구건강검진,30,210,0.7,5.5,2.5%,3.38%,높음,7
대구북구건강검진병원,< 10,30,0,0,-,-,높음,7
대구북구건강검진센터,10,230,0,24.6,-,8.91%,중간,5
대구북구위내시경,< 10,< 10,0,0,-,-,중간,2
대구소화기내과,260,540,0.2,3.8,0.08%,0.71%,높음,10
대구심장초음파,80,180,0,1.5,-,0.89%,높음,10
대구예방접종,20,40,0,0.5,-,2.18%,높음,7
대구유전자검사,10,80,0.4,4,3.45%,6.67%,높음,10
대구일반건강검진,10,30,0,0.4,-,1.62%,높음,7
대구채용검진,40,90,0,1.3,-,1.89%,중간,5
대구채용신체검사,10,70,0,0.7,-,1.15%,높음,3
대구초음파검사,< 10,< 10,0,0,-,-,높음,3
칠곡건강검진,< 10,10,0,0,-,-,높음,7
칠곡건강검진센터,< 10,80,0.1,7.5,1.97%,8.83%,높음,9
건강검진플랫폼,50,30,3,0.4,6.39%,1.81%,높음,7
대연동늘편한내과,40,170,0,0,-,-,낮음,0
부산대연동내과,20,170,0,0,-,-,높음,3
마포건강검진,160,170,0,0.8,-,0.43%,높음,10
궤양,730,"4,040",0,0.7,-,0.03%,높음,3
수원갑상선초음파,20,70,0,1,-,1.43%,높음,7
수원건강검진추천,10,10,0,0.5,-,2.39%,높음,10
영통대상포진,< 10,30,0,0.3,-,1%,높음,3
영통역건강검진,10,30,0.8,0.5,7.7%,1.74%,중간,4
갑상선병원,450,"3,230",1.2,21.2,0.29%,0.72%,높음,10
은평구대장내시경,20,40,0,0,-,-,높음,3
강서구건강검진센터,150,570,0.7,4,0.46%,0.79%,높음,10
강서구검진센터,< 10,50,0,1.8,-,3.37%,높음,10
대구공단검진,10,10,0,0,-,-,높음,3
서울신경과,140,570,0.2,3.3,0.17%,0.62%,높음,10
영등포MRI,< 10,30,0,1.1,-,3.18%,중간,5
임직원종합검진,< 10,< 10,0,0,-,-,낮음,0
중소기업건강검진,30,40,0,0.3,-,1.12%,높음,3
저선량폐CT비용,40,260,0,0,-,-,높음,3
강남대장내시경,80,60,0.3,2.4,0.37%,3.87%,높음,7
과민성대장증후군치료,270,"2,100",0.2,4,0.09%,0.23%,높음,10
대장내시경전문,10,20,0,0,-,-,높음,7
대장내시경추천,10,50,0,0.3,-,1.05%,높음,3
약안먹는대장내시경,10,60,0.1,0,2.05%,-,높음,7
위대장내시경비용,350,"1,870",0.3,2.2,0.09%,0.14%,높음,10
갑상선수술,350,"1,740",0.1,7,0.04%,0.43%,높음,10
강서구건강검진,110,210,1,1.8,0.79%,0.92%,높음,10
강서구건강검진추천,< 10,< 10,0,0,-,-,높음,3
마포건강검진병원,30,110,0,0,-,-,높음,3
마포구건강검진,50,100,0.4,2,0.9%,2.41%,높음,7
목동건강검진병원,20,70,0,0,-,-,높음,3
목동건강검진센터,< 10,20,0,0,-,-,높음,3
양천구건강검진병원,< 10,20,0,0,-,-,높음,7
양천구건강검진센터,20,50,0,3,-,6.67%,높음,3
일산건강검진센터,70,270,0.6,5.4,0.94%,2.54%,높음,10
화곡건강검진,< 10,30,0,0,-,-,높음,3
화곡동건강검진,30,60,0,0.3,-,0.54%,높음,10
대상포진,"17,200","119,200",5.4,330.6,0.04%,0.3%,높음,10
소화기내과병원,60,720,0,7.6,-,1.18%,높음,7
영상의학과,990,"7,250",1.2,28.6,0.13%,0.43%,높음,10
갑상선세침검사,480,"2,660",0.3,14,0.07%,0.58%,높음,10
부산당뇨병원,30,110,0.3,2.3,1.1%,2.28%,높음,9
대장외과,20,300,0,0.5,-,0.18%,높음,10
대장용종제거,540,"6,940",0.5,23.5,0.1%,0.36%,높음,10
대장병원,40,300,0.1,2.3,0.26%,0.88%,높음,10
항문병원,50,980,0.2,4.4,0.34%,0.49%,높음,10
대장항문,10,110,0.3,1.1,1.77%,0.94%,높음,10
대장항문과,10,160,0.1,1.8,0.71%,1.15%,높음,9
장내시경,70,580,0,2,-,0.55%,높음,10
호흡기질환,320,"1,580",0.4,12.6,0.13%,0.9%,높음,10
갑상선암초기증상,940,"7,620",0.6,29.7,0.07%,0.43%,높음,10
대장암초기증상,"3,290","47,600",1.6,289.3,0.06%,0.72%,높음,10
강남CT,< 10,< 10,0,0,-,-,중간,5
강남구건강검진병원,< 10,10,0,0.3,-,1.67%,높음,10
강남역CT,< 10,10,0,0.5,-,4.55%,높음,3
강남역대장내시경,< 10,< 10,0.5,0.4,6.82%,5%,중간,6
강남역영상의학과,< 10,10,0,0,-,-,높음,3
강남영상의학과,40,80,0.7,1.3,2.11%,1.55%,높음,7
강남폐CT,< 10,10,0,0,-,-,중간,2
건강검진센터강남,10,40,0.3,0.8,2.2%,1.79%,높음,7
서초영상의학과,10,30,0,0,-,-,중간,1
강남건강검진센터,220,640,2.2,14.2,1.09%,2.5%,높음,10
대장내시경부산,< 10,30,0,0.3,-,1.41%,높음,7
덕천건강검진,< 10,10,0,0.3,-,1.39%,높음,7
배치전건강검진,"1,830","6,290",2.7,64.2,0.21%,1.46%,중간,5
부산CT,< 10,40,0,1,-,2.44%,높음,9
부산MRA,< 10,50,0,2.3,-,5.31%,중간,3
부산MRI,20,120,0,1.8,-,1.58%,높음,10
부산PETCT,< 10,20,1,1.9,16.67%,11.12%,낮음,1
부산건강검진비용,10,20,0,0.3,-,1.79%,높음,7
부산건강검진잘하는곳,10,30,0,1.8,-,6.49%,높음,7
부산건강관리,< 10,< 10,0,0,-,-,높음,7
부산공무원건강검진,< 10,20,0,0.3,-,1.39%,높음,7
부산공무원채용신체검사,30,70,0.2,2.6,0.75%,3.23%,높음,10
부산국가건강검진,20,50,0.6,2,2.39%,3.51%,높음,7
부산내시경,50,80,0.1,0,0.24%,-,높음,10
부산대상포진예방접종,20,80,0,0.3,-,0.35%,높음,7
부산대장내시경,80,200,0.2,5.8,0.25%,2.95%,높음,10
부산대장내시경잘하는곳,70,190,0.5,2.9,1.14%,2.57%,높음,10
부산독감,< 10,< 10,0,0,-,-,높음,7
부산독감예방접종,< 10,< 10,0,0,-,-,높음,7
부산부모님건강검진,< 10,40,0.3,0.8,5.72%,5.36%,높음,7
부산북구건강검진,10,20,0,0,-,-,높음,7
부산수면내시경,20,20,0,0.5,-,2%,높음,7
부산심장CT,< 10,10,0.2,0.4,20%,6.25%,중간,5
부산예방접종,10,30,0,0.3,-,1.32%,높음,7
부산위대장내시경,20,50,0.2,1,0.8%,2.23%,높음,10
부산유방초음파,110,280,0,4.8,-,1.83%,높음,10
부산일반건강검진,< 10,10,0,0,-,-,높음,7
부산종합건강검진비용,< 10,< 10,0,0.8,-,10.72%,높음,7
부산주말건강검진,< 10,< 10,0,0,-,-,높음,7
부산채용건강검진,10,40,0,0.3,-,0.74%,높음,10
부산채용검진,20,70,0.4,0.5,1.87%,0.99%,높음,7
부산채용신체검사,< 10,40,0,0.3,-,0.54%,높음,10
부산특수건강검진,10,20,0,0.8,-,2.68%,높음,7
부산특수건강검진병원,30,50,0.9,0.8,2.68%,2.15%,높음,7
하단건강검진,20,110,0,2,-,2.11%,높음,7
해운대건강검진센터,10,90,0.1,1.5,1.43%,2.68%,높음,7
잠실위내시경,20,60,0,0,-,-,높음,3
임직원건강관리,< 10,< 10,0,0,-,-,높음,7
강남구대장내시경,< 10,< 10,0.1,0.3,3.58%,5.27%,높음,7
강남내시경,20,30,0,1.3,-,4.04%,높음,7
내시경병원,50,190,0,2,-,1.3%,높음,10
내시경잘하는병원,< 10,20,0,0,-,-,높음,7
수면대장내시경,90,480,0.2,1,0.3%,0.26%,높음,10
동래건강검진,60,190,0.6,7.2,1.12%,4.02%,높음,10
역류성식도염,"3,790","38,000",1.6,74.6,0.05%,0.21%,높음,10
둔촌동건강검진,30,30,0.6,3,2.73%,8.34%,높음,7
방배동건강검진,< 10,20,0.6,0.3,10%,1.7%,중간,3
동래구건강검진,10,50,0.1,2.3,0.63%,4.17%,높음,10
동래건강검진센터,360,"2,120",5.8,104.4,1.74%,5.45%,높음,10
배치전검사,"1,510","6,620",0.5,13,0.06%,0.33%,중간,2
유전자검사기관,80,250,2.6,15.2,3.25%,6.18%,높음,10
건강증진센터,370,"1,470",0.2,1.6,0.06%,0.12%,높음,10
주말에여는병원,< 10,80,0,0,-,-,높음,7
내방역건강검진,< 10,< 10,0,0,-,-,높음,3
방배역건강검진,< 10,10,0,0.3,-,1.57%,높음,3
기업심리상담,10,< 10,0.6,0.2,5.72%,1.67%,높음,7
강남수면내시경,30,10,0.3,0,2.09%,-,높음,3
대구내시경,100,110,0,1.3,-,1.23%,높음,10
임파선염,"2,590","18,200",0.3,34.3,0.02%,0.21%,높음,10
항공신체검사,280,700,1,3.7,0.54%,0.85%,높음,10
연수구호흡기내과,< 10,10,0,0,-,-,높음,3
위대장내시경병원,< 10,140,0,0.7,-,0.45%,높음,3
영통건강검진,20,80,0.1,1.3,0.56%,1.96%,높음,10
대구위내시경잘하는곳,< 10,10,0,0,-,-,높음,7
금정구건강검진,10,40,0.1,1.3,0.65%,3%,높음,9
EAP,"1,330","1,310",8,3.4,0.65%,0.29%,높음,10
정신건강의학과,"3,920","49,600",6.8,186.4,0.19%,0.4%,높음,10
송파구종합검진,< 10,< 10,0.3,0.3,4.77%,4.17%,높음,7
세종시건강검진센터,100,290,0.7,7.2,0.75%,2.59%,높음,10
광교건강검진,90,190,0.1,3.2,0.12%,1.66%,높음,10
신사역건강검진,30,30,0.3,2,1.15%,6.25%,높음,7
동작구건강검진,40,50,0,0,-,-,높음,3
대구대장내시경,280,410,1.2,4.6,0.5%,1.32%,높음,10
서울CT,< 10,20,0,0.3,-,1.29%,높음,7
서울채용신체검사,< 10,10,0,0,-,-,중간,5
대구경동맥초음파,30,130,0,1,-,1.08%,높음,3
대구위대장내시경,40,60,0.7,1,2.11%,2.33%,높음,10
대구당뇨병원,90,80,0,0,-,-,높음,7
대구영양주사,< 10,10,0,0,-,-,높음,7
대구황금내과,< 10,60,0.8,0.8,20%,2.64%,중간,1
황금내과,60,440,1,0,8.34%,-,중간,1
머리MRI,100,870,0,8.8,-,1.11%,높음,10
김포건강검진,100,250,0.8,1.8,0.71%,0.82%,높음,10
김포건강검진센터,40,160,0.5,1.5,1.36%,1.06%,높음,10
논현동건강검진,10,20,0,0,-,-,높음,7
논현역건강검진,< 10,< 10,0,0.3,-,3.13%,낮음,0
대치동건강검진,10,50,0,0.3,-,0.76%,높음,3
도곡동건강검진,< 10,< 10,0.3,0.3,16.67%,3.58%,높음,3
서초동건강검진센터,< 10,10,0,1,-,7.7%,높음,7
선릉역건강검진,60,130,0,0,-,-,높음,3
역삼건강검진센터,10,< 10,0,0.3,-,4.77%,높음,3
역삼동건강검진센터,< 10,10,0,0.7,-,5.56%,중간,4
역삼역내과,290,470,1,3,0.37%,0.68%,높음,7
청담건강검진,< 10,40,0,0,-,-,높음,3
웰니스프로그램,200,300,2,2.6,1.08%,0.94%,높음,10
서울건강관리협회,60,180,1.4,8.7,2.37%,5.01%,중간,5
FAA신체검사,10,10,0.2,1.1,2.71%,8%,중간,4
FAA항공신체검사,< 10,< 10,0.7,0,22.23%,-,높음,3
파일럿신체검사,< 10,10,0,0,-,-,높음,3
항공신체검사병원,120,400,0.6,6.3,0.74%,2.39%,높음,7
항공신체검사증명,20,20,0,0,-,-,높음,3
항공종사자1종신체검사,10,30,0,0,-,-,높음,3
EAP프로그램,90,20,0.2,0.4,0.26%,1.71%,높음,10
송파대장내시경,< 10,30,0.1,0,2.86%,-,높음,7
맘모톰,"3,470","15,400",2.1,29.4,0.07%,0.21%,높음,10
청주종합건강검진,30,40,0.1,0.5,0.5%,1%,높음,7
청주채용신체검사,< 10,20,0,0,-,-,높음,7
충북건강검진,10,20,0.2,0,1.73%,-,중간,6
한국건강관리협회충북,30,30,0,5,-,26.32%,중간,1
강북건강검진,10,40,0.1,0.3,0.59%,0.53%,높음,10
고양시건강검진,20,50,0,0.8,-,1.67%,높음,10
부산내과,220,"1,130",0.7,3,0.35%,0.29%,높음,10
연산동대장내시경,< 10,10,0.1,0.6,4.77%,4.77%,높음,7
연산동소화기내과,< 10,40,0,0.8,-,1.64%,높음,10
연산동위내시경,10,20,0.1,1.1,1.3%,5.2%,높음,7
세종건강검진,200,520,1.9,2.4,1.09%,0.5%,높음,10
잠실국가건강검진,10,20,0,0.3,-,1.79%,높음,3
보수동내과,< 10,20,0,0,-,-,중간,2
동탄내과병원,10,40,0,0.3,-,0.59%,높음,7
건강친화기업인증제도,< 10,< 10,0,0,-,-,높음,3
보건관리,70,70,0.4,0,0.55%,-,높음,7
직원힐링프로그램,20,< 10,0.3,0,1.25%,-,높음,7
강동건강검진,10,40,0.2,1.5,1.54%,4.17%,높음,10
강북구건강검진,60,100,0.3,0.7,0.7%,0.93%,높음,10
개포동건강검진,10,30,0,0.3,-,0.93%,높음,3
광주건강검진,410,"1,120",1.7,12.6,0.44%,1.32%,높음,10
기흥구건강검진,10,10,0.2,0,2.44%,-,중간,4
다산동건강검진,20,50,0,0.6,-,1.37%,높음,7
도봉구건강검진,30,70,0.3,1,1.08%,1.67%,높음,10
동대문건강검진,20,30,0.1,0,0.55%,-,높음,7
미아동건강검진,< 10,20,0,0.6,-,3.45%,중간,6
사하구건강검진,20,60,0.3,2.8,2.05%,4.37%,높음,7
삼전동건강검진,< 10,10,0,0,-,-,낮음,0
서대문건강검진,< 10,< 10,0,0.3,-,11.12%,높음,7
세종시건강검진,170,230,1.2,2.6,0.81%,1.29%,높음,10
수지건강검진,50,100,2.3,0.5,5.99%,0.66%,높음,10
시흥시건강검진,10,40,0,0.3,-,1.12%,높음,3
신내동건강검진,10,10,0,0,-,-,높음,3
신원동건강검진,< 10,10,0,0,-,-,높음,3
아산시건강검진,< 10,20,0,0,-,-,높음,3
아현동건강검진,< 10,10,0,0,-,-,높음,3
안성건강검진,20,80,0.3,0.7,1.29%,0.8%,높음,3
양재동건강검진,< 10,10,0,0,-,-,높음,7
영주건강검진,10,30,0,1.3,-,6.25%,낮음,2
오산건강검진,80,360,0.3,4.7,0.39%,1.48%,높음,10
장안동건강검진,20,30,0,1,-,4.17%,중간,8
제주건강검진,130,320,2.6,6.4,2.27%,2.2%,높음,7
종로건강검진,30,60,0,0.3,-,0.78%,높음,3
종로구건강검진,10,10,0.1,0.3,1.12%,1.48%,높음,7
진관동건강검진,< 10,10,0,0,-,-,낮음,0
창원건강검진,100,280,0.2,2.6,0.21%,1%,높음,10
천안건강검진,260,600,0.9,9.9,0.37%,1.75%,높음,10
청담동건강검진,20,10,0,0,-,-,높음,3
춘천건강검진,160,400,0.7,10.3,0.51%,2.79%,중간,8
EAP심리상담,10,< 10,0,0,-,-,높음,7
2024국가건강검진,< 10,< 10,0,0,-,-,높음,3
2024국가건강검진대상자,< 10,< 10,0,0,-,-,낮음,0
EAP협회,20,20,0,0,-,-,낮음,0
EAP서비스,10,< 10,0.1,0.3,0.9%,5%,높음,7
EAP회사,< 10,10,0,0.9,-,15.79%,높음,7
서울유전자검사,< 10,< 10,0,0.8,-,9.38%,높음,7
B형간염,"2,740","13,300",0.6,12.8,0.03%,0.11%,높음,10
가다실9가가격,970,"8,790",0.8,23.8,0.09%,0.3%,높음,10
가다실9가남자,"1,300","11,000",0.1,3.6,0.02%,0.05%,높음,10
경대K속내과,70,410,0,4,-,1.17%,중간,1
경대케이속내과,50,310,1,1,2.39%,0.39%,중간,1
달서구대장내시경,10,20,0,0.3,-,1.29%,높음,3
신월성내과,< 10,70,0,0,-,-,중간,1
죽전역내과,20,130,0,0.5,-,0.43%,중간,2
EAP기업,10,10,0,0.4,-,4.88%,높음,7
EAP업체,10,< 10,0.3,0.9,2.86%,8.89%,높음,7
EAP상담,230,420,0.7,3.2,0.35%,0.82%,높음,10
EAP전문기업,< 10,< 10,0,0.3,-,4.35%,높음,7
근골격계질환예방프로그램,80,40,1.4,0.5,2.31%,1.48%,높음,7
근로자지원프로그램EAP,10,< 10,0.1,0.3,0.72%,2.78%,높음,10
기업EAP,40,10,1.3,0,4.02%,-,높음,7
기업웰니스,10,10,0.3,0,2.2%,-,높음,7
기업웰니스프로그램,20,< 10,0.3,0,1.1%,-,높음,7
보건대행,50,40,0.4,0,1.3%,-,높음,7
스트레스관리프로그램,60,30,0.7,0,2.56%,-,높음,7
임직원챌린지,< 10,< 10,0.3,0,16.67%,-,높음,3
조직문화활동,20,20,0,0,-,-,높음,3
직무스트레스평가,310,220,2.2,2.2,0.76%,1.07%,높음,10
병원,"9,370","117,600",19.2,71.2,0.23%,0.07%,높음,10
비만,890,"2,780",0.4,4.8,0.05%,0.19%,높음,10
소아청소년과,960,"18,300",1,12.8,0.12%,0.08%,높음,10
